,Date,Open,High,Low,Close*,Adj Close**,Volume
336,2021-03-12,16.02,16.49,14.11,14.55,14.55,185287457.0
337,2021-03-13,14.56,15.39,13.92,15.31,15.31,145102757.0
338,2021-03-14,15.3,15.35,14.38,14.51,14.51,90232804.0
339,2021-03-15,14.48,14.79,13.7,14.19,14.19,102600692.0
340,2021-03-16,14.16,14.28,13.23,13.62,13.62,112303590.0
341,2021-03-17,13.63,14.27,13.13,14.22,14.22,94696339.0
342,2021-03-18,14.21,14.75,13.83,14.23,14.23,79074263.0
343,2021-03-19,14.23,14.49,13.93,14.2,14.2,68715211.0
344,2021-03-20,14.2,14.98,14.15,14.21,14.21,68049683.0
345,2021-03-21,14.22,14.37,13.67,14.33,14.33,64229338.0
346,2021-03-22,14.35,16.6,14.2,14.92,14.92,260995136.0
347,2021-03-23,14.85,15.24,14.1,14.2,14.2,106780662.0
348,2021-03-24,14.19,15.37,13.66,13.66,13.66,118813690.0
349,2021-03-25,13.65,13.71,12.61,13.03,13.03,116277943.0
350,2021-03-26,13.02,14.8,12.37,14.78,14.78,149987319.0
351,2021-03-27,14.79,16.8,14.76,16.51,16.51,223872587.0
352,2021-03-28,16.48,19.39,16.35,18.02,18.02,426120062.0
353,2021-03-29,18.08,18.99,17.7,18.85,18.85,216748601.0
354,2021-03-30,18.89,20.87,18.89,19.23,19.23,264028427.0
355,2021-03-31,19.1,19.8,18.16,19.47,19.47,206011018.0
356,2021-04-01,19.42,20.36,18.84,19.08,19.08,173731886.0
357,2021-04-02,19.08,19.82,18.57,19.81,19.81,131061660.0
358,2021-04-03,19.8,23.83,19.79,22.55,22.55,483057740.0
359,2021-04-04,22.53,25.57,22.21,24.06,24.06,426557980.0
360,2021-04-05,23.93,24.78,22.81,22.98,22.98,264085329.0
361,2021-04-06,22.98,25.35,21.88,24.96,24.96,320886935.0
362,2021-04-07,25.15,27.49,23.09,26.48,26.48,676846221.0
363,2021-04-08,26.51,27.97,25.72,27.03,27.03,377988327.0
364,2021-04-09,26.99,29.01,26.9,27.78,27.78,282477938.0
365,2021-04-10,27.65,28.26,25.96,26.84,26.84,270235258.0
366,2021-04-11,26.81,28.69,25.58,27.93,27.93,232938762.0
367,2021-04-12,27.92,29.86,26.84,28.51,28.51,308804546.0
368,2021-04-13,28.54,28.8,26.42,27.44,27.44,258183912.0
369,2021-04-14,27.4,27.48,24.79,26.48,26.48,342565805.0
370,2021-04-15,26.44,28.25,25.54,27.82,27.82,221346739.0
371,2021-04-16,27.82,28.23,24.97,25.4,25.4,240665351.0
372,2021-04-17,25.37,26.82,25.1,25.1,25.1,201720376.0
373,2021-04-18,25.14,32.9,21.54,32.3,32.3,1155150688.0
374,2021-04-19,32.34,36.08,29.93,31.68,31.68,1219130981.0
375,2021-04-20,31.48,32.7,28.93,31.77,31.77,793008154.0
376,2021-04-21,31.68,35.0,30.17,32.51,32.51,729130141.0
377,2021-04-22,32.68,40.97,31.6,38.88,38.88,1638622971.0
378,2021-04-23,38.9,41.46,31.66,36.98,36.98,1612232268.0
379,2021-04-24,37.26,43.53,34.68,40.74,40.74,1101380795.0
380,2021-04-25,40.85,48.43,40.51,47.37,47.37,1583800800.0
381,2021-04-26,47.54,48.31,43.37,43.98,43.98,1357487872.0
382,2021-04-27,43.89,46.55,42.56,43.24,43.24,904891996.0
383,2021-04-28,43.16,46.92,40.67,44.83,44.83,1021154320.0
384,2021-04-29,44.85,46.07,40.95,42.46,42.46,772259307.0
385,2021-04-30,42.5,44.27,41.24,42.96,42.96,534976437.0
386,2021-05-01,42.89,49.84,42.03,49.51,49.51,859524423.0
387,2021-05-02,49.5,49.9,45.98,46.89,46.89,571072187.0
388,2021-05-03,46.9,49.01,45.04,45.93,45.93,609194252.0
389,2021-05-04,45.98,47.76,42.31,42.73,42.73,682976428.0
390,2021-05-05,42.64,45.93,42.32,44.92,44.92,503781975.0
391,2021-05-06,44.97,44.97,42.59,43.46,43.46,391497018.0
392,2021-05-07,43.5,46.06,41.44,43.16,43.16,514344601.0
393,2021-05-08,43.15,46.64,42.3,45.56,45.56,451056655.0
394,2021-05-09,45.62,47.12,43.3,44.33,44.33,510603312.0
395,2021-05-10,44.34,45.88,39.56,42.91,42.91,499528076.0
396,2021-05-11,42.87,45.15,39.76,44.58,44.58,473731333.0
397,2021-05-12,44.59,48.98,42.46,42.46,42.46,1151668076.0
398,2021-05-13,43.24,45.42,37.53,41.0,41.0,1016860656.0
399,2021-05-14,41.03,44.79,39.99,42.72,42.72,504167711.0
400,2021-05-15,42.7,45.39,39.37,43.46,43.46,500445722.0
401,2021-05-16,43.4,52.5,41.92,47.2,47.2,1990976771.0
402,2021-05-17,46.9,51.88,43.3,46.86,46.86,1951921366.0
403,2021-05-18,46.66,58.3,46.19,55.91,55.91,2025388219.0
404,2021-05-19,56.09,57.53,29.43,35.11,35.11,2772224999.0
405,2021-05-20,35.04,51.26,32.32,44.74,44.74,2487748626.0
406,2021-05-21,44.45,47.65,33.84,38.81,38.81,1769762028.0
407,2021-05-22,38.99,40.01,31.25,31.32,31.32,1078751751.0
408,2021-05-23,31.23,32.44,19.14,24.69,24.69,1925832341.0
409,2021-05-24,24.5,32.09,24.5,31.28,31.28,1346786023.0
410,2021-05-25,31.4,33.13,26.1,30.0,30.0,909470305.0
411,2021-05-26,30.05,37.24,29.01,35.54,35.54,1069991365.0
412,2021-05-27,35.48,35.53,31.13,33.58,33.58,649389058.0
413,2021-05-28,33.68,34.5,28.07,29.04,29.04,600255582.0
414,2021-05-29,29.0,30.02,25.75,27.38,27.38,376859866.0
415,2021-05-30,27.41,29.75,25.65,28.6,28.6,359661704.0
416,2021-05-31,28.6,32.98,27.52,32.82,32.82,534826504.0
417,2021-06-01,32.77,33.29,29.88,30.99,30.99,432053117.0
418,2021-06-02,30.94,35.04,30.43,33.96,33.96,497567418.0
419,2021-06-03,34.02,41.15,33.79,39.47,39.47,960056106.0
420,2021-06-04,39.58,39.61,34.31,37.42,37.42,1056279506.0
421,2021-06-05,37.42,42.82,37.1,39.59,39.59,1112426664.0
422,2021-06-06,39.75,43.38,38.96,42.31,42.31,794387364.0
423,2021-06-07,42.25,44.1,38.09,38.26,38.26,923157614.0
424,2021-06-08,38.25,42.48,33.69,41.52,41.52,1786996802.0
425,2021-06-09,41.28,44.0,39.37,42.03,42.03,1218831041.0
426,2021-06-10,42.02,43.0,39.6,41.1,41.1,595246689.0
427,2021-06-11,41.11,41.31,35.31,36.05,36.05,518666603.0
428,2021-06-12,36.16,37.61,34.32,36.44,36.44,549070417.0
429,2021-06-13,36.51,39.36,34.78,38.77,38.77,452988674.0
430,2021-06-14,38.7,40.48,36.81,38.71,38.71,477871463.0
431,2021-06-15,40.54,41.76,39.44,41.15,41.15,605285143.0
432,2021-06-16,39.55,41.5,37.5,39.7,39.7,576016902.0
433,2021-06-17,39.69,41.24,38.29,39.26,39.26,417775600.0
434,2021-06-18,39.27,39.43,35.0,36.65,36.65,424163369.0
435,2021-06-19,36.82,37.35,34.98,35.35,35.35,264640750.0
436,2021-06-20,35.24,35.93,31.36,35.32,35.32,452587531.0
437,2021-06-21,35.26,35.5,25.95,26.66,26.66,760344541.0
438,2021-06-22,26.59,28.71,20.38,26.77,26.77,1258580061.0
439,2021-06-23,26.91,32.77,25.7,30.05,30.05,1111302687.0
440,2021-06-24,30.85,32.99,28.55,31.18,31.18,641150364.0
441,2021-06-25,31.17,32.9,28.04,28.7,28.7,632052177.0
442,2021-06-26,28.61,30.01,26.71,29.71,29.71,560342710.0
443,2021-06-27,29.75,31.93,29.27,31.93,31.93,497353288.0
444,2021-06-28,31.88,34.24,31.04,32.93,32.93,473612135.0
445,2021-06-29,33.01,35.79,32.73,33.87,33.87,471854279.0
